Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Andrew Harrison (11695349),Andrew Harrison,11695349,PG/G/UTIL,3300,HOU@CLE 11/24/2018 07:30PM ET,CLE,10.54
SF/PF,Wesley Johnson (11695352),Wesley Johnson,11695352,SF/PF/F/UTIL,3300,NO@WAS 11/24/2018 08:00PM ET,NO,13.33
C,Damian Jones (11695356),Damian Jones,11695356,C/UTIL,3300,SAC@GS 11/24/2018 08:30PM ET,GS,14
C,Aron Baynes (11695358),Aron Baynes,11695358,C/UTIL,3300,BOS@DAL 11/24/2018 08:30PM ET,BOS,14.69
PG,Jalen Brunson (11695364),Jalen Brunson,11695364,PG/G/UTIL,3300,BOS@DAL 11/24/2018 08:30PM ET,DAL,9.85
PF/C,Mason Plumlee (11695360),Mason Plumlee,11695360,PF/C/F/UTIL,3300,DEN@OKC 11/24/2018 08:00PM ET,DEN,18.84
SG,Hamidou Diallo (11695367),Hamidou Diallo,11695367,SG/G/UTIL,3300,DEN@OKC 11/24/2018 08:00PM ET,OKC,12.59
C,Nene Hilario (11695370),Nene Hilario,11695370,C/UTIL,3200,HOU@CLE 11/24/2018 07:30PM ET,HOU,0
C,Ante Zizic (11695372),Ante Zizic,11695372,C/UTIL,3200,HOU@CLE 11/24/2018 07:30PM ET,CLE,7.75
PF/C,Davis Bertans (11695374),Davis Bertans,11695374,PF/C/F/UTIL,3200,SA@MIL 11/24/2018 08:30PM ET,SA,12.34
PG/SG,Austin Rivers (11695400),Austin Rivers,11695400,PG/SG/G/UTIL,3200,NO@WAS 11/24/2018 08:00PM ET,WAS,13.24
PF/C,Gorgui Dieng (11695378),Gorgui Dieng,11695378,PF/C/F/UTIL,3200,CHI@MIN 11/24/2018 08:00PM ET,MIN,14.55
PG,Antonio Blakeney (11695382),Antonio Blakeney,11695382,PG/G/UTIL,3200,CHI@MIN 11/24/2018 08:00PM ET,CHI,15.80
PG,Frank Mason III (11695385),Frank Mason III,11695385,PG/G/UTIL,3200,SAC@GS 11/24/2018 08:30PM ET,SAC,13.62
SF,Justin Jackson (11695388),Justin Jackson,11695388,SF/F/UTIL,3200,SAC@GS 11/24/2018 08:30PM ET,SAC,13.66
PF,Jordan Bell (11695391),Jordan Bell,11695391,PF/F/UTIL,3200,SAC@GS 11/24/2018 08:30PM ET,GS,10.57
PF,Alfonzo McKinnie (11695394),Alfonzo McKinnie,11695394,PF/F/UTIL,3200,SAC@GS 11/24/2018 08:30PM ET,GS,12.86
SG,Timothe Luwawu-Cabarrot (11695397),Timothe Luwawu-Cabarrot,11695397,SG/G/UTIL,3200,DEN@OKC 11/24/2018 08:00PM ET,OKC,4.89
