Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
SF,Kenrich Williams (11615832),Kenrich Williams,11615832,SF/F/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,NO,2.25,0.075
SG,Malachi Richardson (11615818),Malachi Richardson,11615818,SG/G/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,TOR,2.08,0.069333333
C,Drew Eubanks (11615901),Drew Eubanks,11615901,C/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SA,2,0.066666667
SG/SF,Ryan Broekhoff (11615651),Ryan Broekhoff,11615651,SG/SF/F/G/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,DAL,1.9,0.063333333
C,Salah Mejri (11615656),Salah Mejri,11615656,C/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,DAL,1.62,0.054
PG,Jordan Loyd (11615821),Jordan Loyd,11615821,PG/G/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,TOR,1.25,0.041666667
PF,Abdel Nader (11615875),Abdel Nader,11615875,PF/F/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,OKC,1,0.033333333
SG,Sindarius Thornwell (11615676),Sindarius Thornwell,11615676,SG/G/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,LAC,0.75,0.025
PF,Udonis Haslem (11615872),Udonis Haslem,11615872,PF/F/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,MIA,0.25,0.008333333
SG,Timothe Luwawu-Cabarrot (11615880),Timothe Luwawu-Cabarrot,11615880,SG/G/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,OKC,0.25,0.008333333
PF/C,DeMarcus Cousins (11615088),DeMarcus Cousins,11615088,PF/C/F/UTIL,5800,GS@LAC 11/12/2018 10:30PM ET,GS,0,0
PF,Lauri Markkanen (11615159),Lauri Markkanen,11615159,PF/F/UTIL,5100,DAL@CHI 11/12/2018 08:00PM ET,CHI,0,0
SG/SF,Dion Waiters (11615214),Dion Waiters,11615214,SG/SF/F/G/UTIL,4600,PHI@MIA 11/12/2018 07:30PM ET,MIA,0,0
PF/C,Dirk Nowitzki (11615223),Dirk Nowitzki,11615223,PF/C/F/UTIL,4500,DAL@CHI 11/12/2018 08:00PM ET,DAL,0,0
SF/PF,James Johnson (11615237),James Johnson,11615237,SF/PF/F/UTIL,4500,PHI@MIA 11/12/2018 07:30PM ET,MIA,0,0
SG/SF,Denzel Valentine (11615315),Denzel Valentine,11615315,SG/SF/F/G/UTIL,4000,DAL@CHI 11/12/2018 08:00PM ET,CHI,0,0
SG/SF,Andre Roberson (11615537),Andre Roberson,11615537,SG/SF/F/G/UTIL,3300,PHO@OKC 11/12/2018 08:00PM ET,OKC,0,0
PF,Ray Spalding (11615642),Ray Spalding,11615642,PF/F/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,DAL,0,0
PG,Daryl Macon (11615645),Daryl Macon,11615645,PG/G/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,DAL,0,0
SF,Kostas Antetokounmpo (11615648),Kostas Antetokounmpo,11615648,SF/F/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,DAL,0,0
PG,Tyler Ulis (11615658),Tyler Ulis,11615658,PG/G/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,CHI,0,0
PG,Rawle Alkins (11615661),Rawle Alkins,11615661,PG/G/UTIL,3000,DAL@CHI 11/12/2018 08:00PM ET,CHI,0,0
SF,Johnathan Motley (11615673),Johnathan Motley,11615673,SF/F/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,LAC,0,0
C,Angel Delgado (11615683),Angel Delgado,11615683,C/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,LAC,0,0
PG,Chasson Randle (11615697),Chasson Randle,11615697,PG/G/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,WAS,0,0
SG,Devin Robinson (11615712),Devin Robinson,11615712,SG/G/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,WAS,0,0
C,Timofey Mozgov (11615723),Timofey Mozgov,11615723,C/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,0,0
SG,Troy Caupain (11615735),Troy Caupain,11615735,SG/G/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,0,0
PF,Amile Jefferson (11615741),Amile Jefferson,11615741,PF/F/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,0,0
C,Alan Williams (11615749),Alan Williams,11615749,C/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,BKN,0,0
C,Justin Patton (11615763),Justin Patton,11615763,C/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,MIN,0,0
PG,Jevon Carter (11615782),Jevon Carter,11615782,PG/G/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,MEM,0,0
SF,D.J. Stephens (11615792),D.J. Stephens,11615792,SF/F/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,MEM,0,0
PF,Tyler Cavanaugh (11615795),Tyler Cavanaugh,11615795,PF/F/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,0,0
PG,Nazareth Mitrou-Long (11615798),Nazareth Mitrou-Long,11615798,PG/G/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,0,0
PG,Raul Neto (11615810),Raul Neto,11615810,PG/G/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,0,0
