Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
C,Deandre Ayton (11605694),Deandre Ayton,11605694,C/UTIL,7000,PHO@NO 11/10/2018 07:00PM ET,PHO,36.89,0.527
SG/SF,Garrett Temple (11605989),Garrett Temple,11605989,SG/SF/F/G/UTIL,4000,PHI@MEM 11/10/2018 08:00PM ET,MEM,21.05,0.52625
SG/SF,JJ Redick (11605809),JJ Redick,11605809,SG/SF/F/G/UTIL,5200,PHI@MEM 11/10/2018 08:00PM ET,PHI,27.33,0.525576923
SG/SF,Joe Harris (11605919),Joe Harris,11605919,SG/SF/F/G/UTIL,4300,BKN@GS 11/10/2018 08:30PM ET,BKN,22.58,0.525116279
SG/SF,Iman Shumpert (11606033),Iman Shumpert,11606033,SG/SF/F/G/UTIL,3800,LAL@SAC 11/10/2018 10:00PM ET,SAC,19.95,0.525
C,Nerlens Noel (11606119),Nerlens Noel,11606119,C/UTIL,3400,OKC@DAL 11/10/2018 09:00PM ET,OKC,17.84,0.524705882
SF/PF,Nikola Mirotic (11605658),Nikola Mirotic,11605658,SF/PF/F/UTIL,7900,PHO@NO 11/10/2018 07:00PM ET,NO,41.39,0.523924051
C,JaVale McGee (11605726),JaVale McGee,11605726,C/UTIL,6200,LAL@SAC 11/10/2018 10:00PM ET,LAL,32.48,0.523870968
SG,Bradley Beal (11605669),Bradley Beal,11605669,SG/G/UTIL,7500,WAS@MIA 11/10/2018 08:00PM ET,WAS,39.14,0.521866667
PF,Marvin Bagley III (11605890),Marvin Bagley III,11605890,PF/F/UTIL,4600,LAL@SAC 11/10/2018 10:00PM ET,SAC,23.98,0.521304348
PF/C,Julius Randle (11605722),Julius Randle,11605722,PF/C/F/UTIL,6200,PHO@NO 11/10/2018 07:00PM ET,NO,32.32,0.521290323
SF/PF,P.J. Tucker (11605915),P.J. Tucker,11605915,SF/PF/F/UTIL,4400,HOU@SA 11/10/2018 08:30PM ET,HOU,22.9,0.520454545
PG/SG,Dwyane Wade (11605868),Dwyane Wade,11605868,PG/SG/G/UTIL,4800,WAS@MIA 11/10/2018 08:00PM ET,MIA,24.94,0.519583333
